ano_implantacao;referencia;nome;bairro;local;rpa;quantidade;vagas;latitude;longitude 
2021;P001;Praça do Arsenal;Recife;Rua do Bom Jesus, oposto a Praça do Arsenal, esquina com Rua Barão Rodrigues Mendes;1;1;2;-8.06135; -34.87105 
2021;P002;Avenida Rio Branco;Recife;Av. Rio Branco, s/n - Recife;1;5;10;-8.06266; -34.87274 
2021;P003;Praça da Independência;Santo Antônio;Av Dantas Barreto, na Praça da Independência, oposto a Igreja Santo Antônio;1;5;10;-8.06423; -34.87839 
2021;P004;Praça Joaquim Nabuco;Santo Antônio;Praça Joaquim Nabuco em frente a Av Floriano Peixoto;1;3;6;-8.06447; -34.88135 
2021;P005;Praça Visconde de Mauá;Santo Antônio;Tv. do Cais da Detenção, s/n - Santo Antônio;1;2;4;-8.06672; -34.88286 
2021;P006;Praça Visconde de Mauá;Santo Antônio;Praça Visc. de Mauá, s/n - Santo Antônio;1;1;2;-8.05618; -34.87823 
2021;P007;Parque Treze de Maio;Boa Vista;Rua da Saudade, oposto ao número 374 e em frente ao Parque Treze de Maio / esquina com Rua Princesa Isabel;1;1;2;-8.05856; -34.88108 
2021;P008;Cinema São Luiz;Boa Vista;Rua Dr. Sebastião Lins, s/n - Boa Vista;1;1;2;-8.06229; -34.88204 
2021;P009;Igreja da Santa Cruz;Boa Vista;Rua da Santa Cruz, s/n - Boa Vista ;1;1;2;-8.06232; -34.88808 
2021;P010;Praça Miguel de Cervantes;Ilha do Leite;Rua Praça Dr Fernando Figueira em frente à Praça Miguel de Cervantes;1;2;4;-8.06532; -34.89368 
2021;P011;Mercado da Encruzilhada;Encruzilhada;Rua Dr. José Maria, s/n - Encruzilhada;2;4;8;-8.03739; -34.89238 
2021;P012;Rua Dona Ana Xavier;Casa Amarela;Rua Dona Ana Xavier, 147 - Casa Amarela;3;1;2;-8.02707; -34.91757 
